Region	Time	Type of Visa	NOM Arrivals	NOM Departures	NOM
Australia	2010	Permanent visa - Family	33690	5760	27940
Australia	2010	Permanent visa - Skill	37140	8670	28480
Australia	2010	Permanent visa - Special Eligibility and humanitarian	8510	130	8380
Australia	2010	Permanent visa - Other permanent visas	4190	5460	-1260
Australia	2010	New Zealand Citizen (subclass 444)	44900	17740	27170
Australia	2010	Australian Citizen	78510	87170	-8650
Australia	2010	Other Visas	17960	14330	3630
Australia	2011	Total 	456260	250580	205680
Australia	2011	Temporary visa - Total	217220	115270	101950
Australia	2011	Temporary visa - Vocational Education and Training sector	10720	10480	240
Australia	2011	Temporary visa - Higher education sector	41890	30890	10990
Australia	2011	Temporary visa - Student other	20910	7990	12920
Australia	2011	Temporary visa - Temporary work skilled (subclass 457)	42020	12460	29560
Australia	2011	Temporary visa - Visitor	43960	17250	26720
Australia	2011	Temporary visa - Working Holiday	50580	14950	35620
Australia	2011	Temporary visa - Other temporary visas	7150	21250	-14100
Australia	2011	Permanent visa - Total	83980	19280	64690
Australia	2011	Permanent visa - Family	34350	5900	28450
Australia	2011	Permanent visa - Skill	36080	7890	28190
Australia	2011	Permanent visa - Special Eligibility and humanitarian	9300	140	9170
Australia	2011	Permanent visa - Other permanent visas	4250	5360	-1110
Australia	2011	New Zealand Citizen (subclass 444)	59540	16260	43280
Australia	2011	Australian Citizen	77730	86230	-8500
Australia	2011	Other Visas	17800	13540	4260
Australia	2012	Total 	493090	255650	237440
Australia	2012	Temporary visa - Total	242450	118390	124060
Australia	2012	Temporary visa - Vocational Education and Training sector	9330	8190	1150
Australia	2012	Temporary visa - Higher education sector	48240	29540	18710
Australia	2012	Temporary visa - Student other	21290	8270	13010
Australia	2012	Temporary visa - Temporary work skilled (subclass 457)	49000	16060	32930
Australia	2012	Temporary visa - Visitor	48970	16170	32810
Australia	2012	Temporary visa - Working Holiday	57780	18760	39020
Australia	2012	Temporary visa - Other temporary visas	7840	21410	-13570
Australia	2012	Permanent visa - Total	85960	19100	66860
Australia	2012	Permanent visa - Family	34500	5640	28860
Australia	2012	Permanent visa - Skill	40610	7810	32800
Australia	2012	Permanent visa - Special Eligibility and humanitarian	6150	170	5980
Australia	2012	Permanent visa - Other permanent visas	4700	5480	-780
Australia	2012	New Zealand Citizen (subclass 444)	60820	18980	41840
Australia	2012	Australian Citizen	79060	85320	-6250
Australia	2012	Other Visas	24800	13860	10940
Australia	2013	Total 	490050	283900	206150
Australia	2013	Temporary visa - Total	256800	133640	123160
Australia	2013	Temporary visa - Vocational Education and Training sector	9170	7870	1300
Australia	2013	Temporary visa - Higher education sector	66710	26910	39800
Australia	2013	Temporary visa - Student other	24110	9160	14950
Australia	2013	Temporary visa - Temporary work skilled (subclass 457)	37820	20870	16950
Australia	2013	Temporary visa - Visitor	51700	20150	31550
Australia	2013	Temporary visa - Working Holiday	59100	23810	35300
Australia	2013	Temporary visa - Other temporary visas	8190	24870	-16680
Australia	2013	Permanent visa - Total	95280	19570	75710
Australia	2013	Permanent visa - Family	37780	5850	31930
